Test sample: 0, Best fit sample: 87864, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 1, Best fit sample: 54298, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 2, Best fit sample: 16209, Predicted cost: 0.000685, Actual cost: 0.019316, Square loss: 0.000347
Test sample: 3, Best fit sample: 22901, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 4, Best fit sample: 12274, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 5, Best fit sample: 10259, Predicted cost: 0.024925, Actual cost: 0.017119, Square loss: 0.000061
Test sample: 6, Best fit sample: 1944, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 7, Best fit sample: 6812, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 8, Best fit sample: 78042, Predicted cost: 4.344043, Actual cost: 0.000676, Square loss: 18.864841
Test sample: 9, Best fit sample: 94194, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 10, Best fit sample: 4057, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 11, Best fit sample: 94195, Predicted cost: 1.564563, Actual cost: 2.130810, Square loss: 0.320636
Test sample: 12, Best fit sample: 38499, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 13, Best fit sample: 58929, Predicted cost: 0.000153, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 14, Best fit sample: 57821, Predicted cost: 0.000000, Actual cost: 0.849236, Square loss: 0.721202
Test sample: 15, Best fit sample: 41881, Predicted cost: 0.000000, Actual cost: 0.849241, Square loss: 0.721211
Test sample: 16, Best fit sample: 14857, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 17, Best fit sample: 5188, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 18, Best fit sample: 83211, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 19, Best fit sample: 83212, Predicted cost: 0.160685, Actual cost: 0.160685, Square loss: 0.000000
Test sample: 20, Best fit sample: 83213, Predicted cost: 0.854099, Actual cost: 1.249362, Square loss: 0.156233
Test sample: 21, Best fit sample: 99252, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 22, Best fit sample: 21430, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 23, Best fit sample: 99253, Predicted cost: 0.497891, Actual cost: 0.339075, Square loss: 0.025223
Test sample: 24, Best fit sample: 11577, Predicted cost: 0.000000, Actual cost: 6.458400, Square loss: 41.710928
Test sample: 25, Best fit sample: 11695, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 26, Best fit sample: 19986, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 27, Best fit sample: 68570, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 28, Best fit sample: 85554, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 29, Best fit sample: 85554, Predicted cost: 0.000000, Actual cost: 6.909244, Square loss: 47.737653
Test sample: 30, Best fit sample: 7105, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 31, Best fit sample: 19936, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 32, Best fit sample: 72547, Predicted cost: 0.000000, Actual cost: 5.208316, Square loss: 27.126559
Test sample: 33, Best fit sample: 79388, Predicted cost: 0.000000, Actual cost: 5.210076, Square loss: 27.144890
Test sample: 34, Best fit sample: 15205, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 35, Best fit sample: 44610, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 36, Best fit sample: 317, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 37, Best fit sample: 97962, Predicted cost: 0.000192, Actual cost: 6.907755, Square loss: 47.714428
Test sample: 38, Best fit sample: 931, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 39, Best fit sample: 1308, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 40, Best fit sample: 46065, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 41, Best fit sample: 76050, Predicted cost: 0.000000, Actual cost: 0.115108, Square loss: 0.013250
Test sample: 42, Best fit sample: 76051, Predicted cost: 0.026427, Actual cost: 0.188133, Square loss: 0.026149
Test sample: 43, Best fit sample: 112, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 44, Best fit sample: 2365, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 45, Best fit sample: 9919, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 46, Best fit sample: 6911, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 47, Best fit sample: 90365, Predicted cost: 0.021258, Actual cost: 0.912894, Square loss: 0.795016
Test sample: 48, Best fit sample: 6458, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 49, Best fit sample: 3258, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 50, Best fit sample: 47111, Predicted cost: 0.003324, Actual cost: 2.217585, Square loss: 4.902951
Test sample: 51, Best fit sample: 61114, Predicted cost: 0.000000, Actual cost: 2.607305, Square loss: 6.798037
Test sample: 52, Best fit sample: 46616, Predicted cost: 0.477617, Actual cost: 0.000000, Square loss: 0.228118
Test sample: 53, Best fit sample: 17439, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 54, Best fit sample: 99310, Predicted cost: 1.821594, Actual cost: 0.095315, Square loss: 2.980040
Test sample: 55, Best fit sample: 34192, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 56, Best fit sample: 47088, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 57, Best fit sample: 47089, Predicted cost: 0.001984, Actual cost: 0.004035, Square loss: 0.000004
Test sample: 58, Best fit sample: 47089, Predicted cost: 0.001984, Actual cost: 0.219787, Square loss: 0.047438
Test sample: 59, Best fit sample: 11101, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 60, Best fit sample: 4538, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 61, Best fit sample: 15971, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 62, Best fit sample: 95429, Predicted cost: 0.011923, Actual cost: 0.010152, Square loss: 0.000003
Test sample: 63, Best fit sample: 15971, Predicted cost: 0.000000, Actual cost: 0.767224, Square loss: 0.588632
Test sample: 64, Best fit sample: 84904, Predicted cost: 0.000000, Actual cost: 0.771899, Square loss: 0.595829
Test sample: 65, Best fit sample: 899, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 66, Best fit sample: 5167, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 67, Best fit sample: 2002, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 68, Best fit sample: 18006, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 69, Best fit sample: 18006, Predicted cost: 0.000000, Actual cost: 0.004602, Square loss: 0.000021
Test sample: 70, Best fit sample: 20906, Predicted cost: 0.000000, Actual cost: 2.312981, Square loss: 5.349883
Test sample: 71, Best fit sample: 18006, Predicted cost: 0.000000, Actual cost: 2.313375, Square loss: 5.351706
Test sample: 72, Best fit sample: 20123, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 73, Best fit sample: 2550, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 74, Best fit sample: 31502, Predicted cost: 5.791231, Actual cost: 6.907755, Square loss: 1.246627
Test sample: 75, Best fit sample: 1600, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 76, Best fit sample: 41328, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 77, Best fit sample: 41328, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 78, Best fit sample: 7415, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
