Epoch = 0, Training loss = 0.073345
Epoch = 0, Testing loss = 0.650869, Accuracy = 0.258000
Epoch = 1, Training loss = 0.059786
Epoch = 1, Testing loss = 0.631523, Accuracy = 0.103000
Epoch = 2, Training loss = 0.034649
Epoch = 2, Testing loss = 0.658078, Accuracy = 0.440000
Epoch = 3, Training loss = 0.020758
Epoch = 3, Testing loss = 0.672187, Accuracy = 0.534000
Epoch = 4, Training loss = 0.017945
Epoch = 4, Testing loss = 0.633987, Accuracy = 0.378000
Epoch = 5, Training loss = 0.014799
Epoch = 5, Testing loss = 0.673076, Accuracy = 0.547000
Epoch = 6, Training loss = 0.009949
Epoch = 6, Testing loss = 0.655773, Accuracy = 0.530000
Epoch = 7, Training loss = 0.011182
Epoch = 7, Testing loss = 0.663591, Accuracy = 0.536000
Epoch = 8, Training loss = 0.010268
Epoch = 8, Testing loss = 0.662515, Accuracy = 0.547000
Epoch = 9, Training loss = 0.008433
Epoch = 9, Testing loss = 0.674636, Accuracy = 0.586000
Predicted cost: 0.305697, actual cost: 0.697043, loss: 0.153151
Predicted cost: 1.737535, actual cost: 1.990833, loss: 0.064160
Predicted cost: 0.062258, actual cost: 0.001648, loss: 0.003674
Predicted cost: 0.000000, actual cost: 0.124116, loss: 0.015405
Predicted cost: 1.308914, actual cost: 0.964658, loss: 0.118513
Predicted cost: 1.923045, actual cost: 1.531067, loss: 0.153647
Predicted cost: 0.000000, actual cost: 0.000000, loss: 0.000000
Predicted cost: 0.198572, actual cost: 0.000000, loss: 0.039431
Predicted cost: 0.000000, actual cost: 0.001333, loss: 0.000002
Predicted cost: 4.934774, actual cost: 5.655188, loss: 0.518995
Predicted cost: 0.000000, actual cost: 0.003214, loss: 0.000010
Predicted cost: 0.000000, actual cost: 0.113218, loss: 0.012818
Predicted cost: 0.012219, actual cost: 0.166371, loss: 0.023763
Predicted cost: 0.729305, actual cost: 1.154554, loss: 0.180838
Predicted cost: 0.546108, actual cost: 0.080411, loss: 0.216873
Predicted cost: 3.172742, actual cost: 2.093313, loss: 1.165167
Predicted cost: 0.261381, actual cost: 0.192629, loss: 0.004727
Predicted cost: 1.427467, actual cost: 0.823593, loss: 0.364663
Predicted cost: 0.189551, actual cost: 0.000000, loss: 0.035930
Predicted cost: 2.172250, actual cost: 0.950989, loss: 1.491478
Predicted cost: 5.462309, actual cost: 5.724885, loss: 0.068946
Predicted cost: 0.000000, actual cost: 0.000263, loss: 0.000000
Predicted cost: 0.035229, actual cost: 0.001919, loss: 0.001110
Predicted cost: 0.016002, actual cost: 0.000001, loss: 0.000256
Predicted cost: 1.259467, actual cost: 1.198609, loss: 0.003704
Predicted cost: 0.234611, actual cost: 0.000000, loss: 0.055042
Predicted cost: 0.426288, actual cost: 0.077616, loss: 0.121572
Predicted cost: 0.195002, actual cost: 0.002216, loss: 0.037167
Predicted cost: 0.232352, actual cost: 0.051129, loss: 0.032842
Predicted cost: 0.000000, actual cost: 0.010570, loss: 0.000112
Predicted cost: 8.030759, actual cost: 8.537333, loss: 0.256617
Predicted cost: 0.099563, actual cost: 0.014137, loss: 0.007298
